TIMESTAMP,TA_F_MDS,VPD_F_MDS,PPFD_IN,LE_F_MDS,H_F_MDS,SW_IN_F_MDS,NETRAD,NEE_VUT_REF,swvl1,stl1,ssrd,strd,lai_hv,evavt,swvl2,swvl4,stl2,stl4,stl3,swvl3,prec_merge
2002-03-04,23.49,2.603,271.349652174,71.543,16.9141,136.769,32.2022608696,3.50063,0.476434530180098,298.32881748710804,3411954.398155954,19071483.952056836,2.6024977351485643,-3.1053331757153144e-05,0.471116717455488,0.482942407839066,298.81577329024555,300.1223457551843,299.7498301830172,0.4864302851623338,3.0
2002-03-05,24.05,4.157,405.416043478,78.5416,22.6917,204.557,134.660875,1.37863,0.4536154675332138,299.2698448325941,6779597.26656624,18818667.61345932,2.605171463903821,-3.235931645466999e-05,0.4639033082490809,0.4855572273016742,298.9820447973589,300.1142724020644,299.6459343056626,0.4883117713768603,1.75
2002-03-06,23.694,3.597,340.538,59.9588,12.754,172.587,91.8612173913,1.43334,0.4678679845728331,298.820149206532,4076159.852693331,18752200.86550165,2.60771241154708,-4.066393693918669e-05,0.4648524569791539,0.4866810421855115,299.3097064974194,300.1055521725758,299.6234124392596,0.4822361573422766,23.375
2002-03-07,24.245,3.439,346.292217391,62.8135,15.071,177.724,105.74775,2.31248,0.4635339899935602,298.73335190338963,5358956.933861089,18836572.1938599,2.6103167319937923,-4.06038456187488e-05,0.4716236973451315,0.4874580370217252,298.81723489517304,300.0958532275426,299.5629104098049,0.4814619161277566,5.625
2002-03-08,25.472,5.047,424.357869565,80.3522,18.5206,216.783,125.656913043,2.16302,0.4616986466952391,299.6339347441624,7164142.539023754,18736997.99927916,2.61292407019305,-4.65328559019541e-05,0.4743148701643494,0.4875247744188336,299.3053049467027,300.0852049704359,299.5223007426841,0.4768007527225332,3.75
2002-03-09,25.451,5.869,530.964,95.1924,26.077,268.05,177.009,1.82873,0.465819790966021,299.48737927029464,6116360.1875847215,18960873.941935062,2.6153925917752177,-4.436956836618999e-05,0.4760974768730954,0.4879796072015361,299.5606339387869,300.07495576043976,299.5462193866496,0.4838021350726019,0.125
2002-03-10,24.393,3.258,416.878565217,79.4135,17.1267,215.44,136.436125,0.321508,0.4600918533026309,298.88820877817574,4159857.553754009,19034552.892995268,2.617993894469385,-3.266778523291786e-05,0.4689095075177814,0.49034570254962,299.3459230592104,300.0659456967341,299.5624088822908,0.4801052889517977,28.25
2002-03-11,24.042,2.088,231.940875,55.5181,4.65742,120.609,65.2704347826,3.64358,0.4701954498609985,298.3568297502547,3457568.22606295,18893056.336888347,2.6206012326686423,-3.159014755306505e-05,0.4691696602807466,0.4912671610687311,298.80088388737744,300.0562131477337,299.5177869950574,0.4599862855344303,6.125
2002-03-12,25.554,5.532,534.130217391,87.6918,39.8959,273.858,178.378208333,0.885521,0.4699608616486617,299.4235399084479,6217922.748037964,18868878.284582697,2.6232085708679,-2.9695267915256813e-05,0.4721682313006743,0.4902845936076894,298.97552336163284,300.0453296628566,299.4489183617464,0.4528692562775585,0.625
2002-03-13,25.181,4.353,414.683391304,86.4836,19.9102,207.339,135.657652174,2.56969,0.4627574637617322,299.2930212318086,5987132.139268416,18824391.584175617,2.625815909067158,-3.0264132415402214e-05,0.4716679142291744,0.4892194754707065,299.42734337950293,300.034173145746,299.4574068321014,0.4500866137815589,13.25
2002-03-14,24.717,3.612,416.392347826,94.9203,6.67654,210.366,132.488958333,1.87266,0.4587305170742826,299.4232420112857,5615192.445167337,18879158.53598917,2.6283538389578704,-4.388483171465767e-05,0.4682093059019778,0.4884633863251532,299.3778663791141,300.0239701412048,299.4742947165239,0.4540770251273247,0.75
2002-03-15,25.671,5.502,481.245869565,117.216,22.0876,246.336,147.491086957,0.146277,0.4577450654332692,299.3442992633184,5876069.480689595,18995767.26742162,2.630888751096037,-4.285126100312598e-05,0.469944364317609,0.4877276668269101,299.3594903232701,300.013746134184,299.48663135593546,0.4531168592703292,4.625
2002-03-16,24.36,2.149,306.4515,64.5457,13.6447,159.355,96.8624583333,2.49133,0.4544994756229464,299.0695785003924,6138382.383415368,19040345.551360164,2.6420302934937925,-4.7790767543120615e-05,0.4741897908964745,0.487211725102277,299.26363804897983,300.0043580258473,299.4886421531648,0.4646901493360118,1.875
2002-03-17,24.855,3.682,398.788391304,85.9427,26.0285,201.556,128.520708333,0.663961,0.4542872291451179,299.68346511232096,7335127.609153897,18511565.13658842,2.653476628898636,-4.488234763392663e-05,0.4630223019772932,0.487009904780901,299.4173799199591,299.9947178877567,299.4853892550829,0.465490485237195,8.5
2002-03-18,25.716,4.977,444.111391304,95.1168,18.0576,223.779,124.774347826,0.655112,0.4584017312786135,299.83394289882364,6408024.887331177,18808616.320881497,2.664919946550933,-4.1004454421668e-05,0.4604604484011323,0.4865255896139337,299.7210143970322,299.9851113536333,299.52618172195184,0.4601283236584269,0.125
2002-03-19,25.133,2.758,359.099458333,81.0714,15.1398,186.732,117.433083333,1.56055,0.4708183011892493,299.3477648003047,6255138.422417427,18981274.173567954,2.676363264203232,-4.057980909057359e-05,0.475961797667265,0.4859981229572698,299.5589212948452,299.9770590029928,299.5636134857592,0.4613049568025153,2.0
2002-03-20,26.094,5.238,439.345826087,91.2631,14.4275,225.627,125.334130435,0.699554,0.4552784171774239,299.4368360517847,6337767.571140606,19027752.815784305,2.6878065818555297,-3.578452171962985e-05,0.4710506949847937,0.4856502308229457,299.4282136480857,299.9694645064055,299.56750383937305,0.470645075444778,1.0
